,ra,dec,distance,pmra,pmdec,radial_velocity,ra_error,dec_error,distance_error,pmra_error,pmdec_error,radial_velocity_error
0,278.7541058119611,-36.74544666238231,152.87574859613287,4.945216925081315,-28.227777219378744,-5.951719182498464,0.12488851657830975,0.08545530322621069,0.2938829268382477,0.19227254460620155,0.2316466314594334,0.5518680513706964
1,283.7316462396634,-37.39482608113779,144.18941656782948,4.387671096635766,-28.684490800249026,-8.965862035740681,0.15588456172709547,0.0798054290312822,0.31806438935590764,0.030955528893044898,0.1238167344610425,0.40107210240685676
2,281.15950296559237,-36.89393457279898,155.17494841278798,2.5033851378864425,-26.63999710533692,-12.482698207551698,0.1525420775053374,0.08326707223481648,6.344337576466075,0.013082704659027583,0.028384059019798166,0.075015674104001
3,284.34561959102365,-35.77707451127422,153.76917188941977,3.3297905035546496,-29.14093335648795,-3.948361850281185,0.059250118298962304,0.01581956609986629,1.7793287516544478,0.1003324033144431,0.04562261580073388,0.350784818448915
4,286.3887837576289,-35.532380198833536,159.38315326709218,7.099090521566943,-28.186216454013845,-6.606296142841886,0.18389088505111384,0.07597624405410228,1.2999115375788004,0.232945852045081,0.1463952901817081,0.25609591325448333
5,283.02580537638664,-37.16919535742508,152.72201996243766,1.997096758080635,-27.390324434470738,1.4276565829277796,0.024464768226302683,0.1943377410140945,6.353788114315849,0.053388871273933734,0.015428090640204936,0.3942449375337843
6,283.8473145921383,-36.880357995725205,145.4196022973546,6.1432697931816485,-28.548684292462855,-6.030116861747704,0.004216277126016632,0.010966068387283812,0.8265413748585395,0.11803644887714207,0.0529584030595148,0.26006914129684944
7,279.4836990374035,-37.05904467298466,137.64266536405853,2.4944215803538228,-28.623320666246503,-5.941406701806092,0.11072429217175953,0.12391741490992816,0.18056065564116697,0.02796191268346032,0.024140595096088596,0.3104270340424639
8,286.38279542038475,-36.6213030150615,149.450240880301,2.218241382010266,-29.243117056475185,-9.001556508631285,0.07622641807687221,0.02613483639185428,3.4721277188026773,0.16036486667894986,0.10526301617787949,0.3521675144151966
9,282.8043954272149,-36.32666662531932,155.34692047357626,6.217392850370255,-25.869042819386195,-0.4740959300147751,0.18688055063618034,0.15416568704046962,5.346658377989938,0.07257559109924369,0.08388962609131158,0.02300870195473831
